Company,Profile
Virohan Private Limited,Associate Product Manager
Agnikul Cosmos India Pvt Ltd,Aerospace Systems
Agnikul Cosmos Pvt Ltd,Vehicle Dynamics Engineer
Agnikul Cosmos Pvt Ltd,RF Designer - Done
Agnikul Cosmos Pvt Ltd,Printed Circuit Board design engineer
Agnikul Cosmos Pvt Ltd,Power Electronics Engineer
Agnikul Cosmos Pvt Ltd,Mission Design Software Developer
Agnikul Cosmos Pvt Ltd,Launch Vehicle Operations Strategist
Agnikul Cosmos Pvt Ltd,3D Modelling Designer
Agnikul Cosmos Pvt Ltd,Additive Manufacturing Specialist
Agnikul Cosmos Pvt Ltd,Embedded software engineer - Linux
Agnikul Cosmos Pvt Ltd,LabVIEW Engineer
Agnikul Cosmos Pvt Ltd,Launch Vehicle Composites Engineer
Truminds Software Systems,Software Development Engineer
Mistral Solutions Pvt Ltd,Software Engineer
Mistral Solutions Pvt Ltd,FPGA/VLSI Engineer
Mistral Solutions Pvt Ltd,RF/Analog Engineer
Raphe mPhibr Pvt Ltd,Research Engineer
Infoglen LLC,Salesforce Technology Freshers
MIKO,Jr AI NLP Engineer
MIKO,Jr AI Image
MIKO,Jr. AI Audio
MIKO,Data Scientist
MIKO,Jr Robotics Engineer
ProtoTech Solutions,Associate Software Developer
Polyone Polymers India Pvt. Ltd.,R&D Chemist
Optimum,Core Role
FCS Software Solutions Ltd,Software Engineer
Listed DotFans Private Limited,SDE
Frittsolar,Project Engineer
Piramal Group,Graduate Engineer Trainee
Piramal Group,Graduate Engineer Trainee
Tripoor Sciences,FUTURE FOUNDER INTERN INVITED
EY India,Associate Consultant
rtCamp,Web Engineer
Focus Energy Limited,Quantitative Research Analyst
Focus Energy Limited,Quantitative Research Analyst
1K Kirana Bazaar,Program Manager
1K Kirana Bazaar,Program Manager
MAQ Software,Software Engineer 1
ProtoTech Solutions,Associate Software Developer
Techvantage Analytics,DATA SCIENTIST
Deepsight AI Labs,Computer Vision Engineer
MIKO,Jr. Embedded Firmware/Linux Engineer
FCS Software Solutions Ltd,Quantitative Research Analyst
Statcon Electronics India Limited,Embedded Software Engineer
ZS Associates India Pvt. Ltd.,Data Science Associate
"Errund, Inc.",Full Stack Laravel Developer
MIKO,Jr. Mechanical Engineer
MIKO,Jr Electronics Hardware Engineer
MIKO,AI Backend Developer
MIKO,Jr Android Developer
SLB,Data Scientist
SLB,Machine Learning Engineer
ANZ,Engineers - IT
Arthmatetech Pvt Ltd,SDE
IntelliBlock Technologies Private Limited,Blockchain Developer
Piramal Foundation,Gandhi Fellowship
Fast Retailing,Mobile Application Engineer / Digital Business Reform Department
Fast Retailing,Backend Engineer / Digital Business Reform Department
Trilogy Innovations,Software Development Engineer
Apport Software Solutions Private Ltd,IOS Developer
Apport Software Solutions Private Ltd,Backend Developer
Apport Software Solutions Private Ltd,FrontEnd Develper
Navi Technologies Pvt.Ltd,Business Analyst
Apport Software Solutions Private Ltd,Android Developer
Fast Retailing,Data Engineer / Digital Business Reform Department
EXL Analytics,Consultant
Rivos Inc.,Silicon Verification - Full-time -
EXL Analytics,Senior Business Analyst
WorldQuant,Quantitative Researcher
HSBC,India
Uber,Software Engineer
IQVIA,Analyst
Accenture Japan Ltd.,Digital Consultant
Accenture Japan Ltd.,Business Consultant
Accenture Japan Ltd.,Strategy Consultant
Accenture Japan Ltd.,Data Scientist
Accenture Japan Ltd.,AI Architect
Flipkart Internet Pvt Ltd,Associate Product Manager 1
Deloitte USI,Analyst
Fast Retailing,Data Scientist / Digital Business Reform Department
Fast Retailing,QA Engineer/ Digital Business Reform Department
"Rakuten Mobile, Inc.",Software Engineer
Samsung Semiconductor India Research,SSIR
Fast Retailing,Front-end Engineer / Digital Business Reform Department
Fast Retailing,Software Developer / Digital Business Reform Department
DMI Finance,Data Scientist
Godrej Capital,Assistant Manager - Analytics
Vantage Research,Scientist-Modeling and Simulation
NVIDIA,Formal Verification Engineer
FourthFrontier,Software Engineer
FourthFrontier,Software Engineer
FourthFrontier,Software Engineer
FourthFrontier,Software Engineer
FourthFrontier,Software Engineer
FourthFrontier,Software Engineer
FourthFrontier,Title : Software Engineer Role : Firmware Developer
PayU,Associate Data Scientist
PayU,Associate Data Engineer
PayU,Associate Business Analyst
Honda R&D,1
Honda R&D,2
Honda R&D,3
Honda R&D,4
Honda R&D,5
Fujitsu R&D India,Researcher Quantum Laboratory
Javis,Software Development Engineer I
Javis,Data Engineer I
Javis,Machine Learning Engineer I
Javis,Software Development Engineer I
JP Morgan & Chase,Full Time Analyst - Quantitative Research
Apport Software Solutions Private Ltd,UX Designer
Samsung Semiconductor India Research,SSIR
Zupee,Founder's Team
Ubiquiti Technical Services Pvt Ltd,Network Engineer
Ubiquiti Technical Services Pvt Ltd,Senior Quality Assurance Engineer
Morgan Stanley,Strats and Quants
Morgan Stanley,Sales and Trading
Piramal,Management Trainee - Technology
1K Kirana Bazaar,Product Analyst
Sony Group Corporation,JAF1 : XR System Engineer
Sony Group Corporation,JAF2 : Software and Hardware engineer for Robotics Platform
Sony Group Corporation,"JAF3 : Visual Recognition Computation Systems and Architecture, Research Engineer"
Sony Group Corporation,"JAF4 : Software Engineer, Parallel Programming and Machine Learning"
Sony Group Corporation,JAF5 : R&D Engineer of Privacy Computing Technology
Sony Group Corporation,"JAF6 : Deep Learning, Researcher/Research Engineer/Software Engineer"
Sony Group Corporation,"JAF7 : Software Engineer, Embedded Linux software development"
Sony Group Corporation,"JAF8 : PlayStation Network Software Systems Engineer, Production Operations Engineer"
Sony Group Corporation,JAF9 : Platform Engineer for PlayStation Network
Sony Group Corporation,JAF10 : GPU Software Engineer for Low Level Component and Tools for PlayStation
Sony Group Corporation,JAF11 : Software testing engineer
Sony Group Corporation,JAF12 : Image Sensor device/pixel Research&Development
Piramal,Management Trainee - Business Intelligence Unit
Peepul tree,Full stack developer
Peepul tree,Product Development
DMI Finance,AM - Analytics
Pinpoint Investment Advisory Services,India
BLEND360,Business Analyst_Masters
U GRO Capital,Management Trainee
Virohan Private Limited,UI/UX Designer
Premji Invest,Research Associate - Private Equity/ Private Markets Investments
Google,Software Engineer
National Health Authority,Young Engineering Professionals
